city,country,lat,lng,alliance
Kucove,Albania,40.783333,19.9,WarsawPact
Tirana,Albania,41.333333,19.8,WarsawPact
Yerevan,Armenia,40.116667,44.466667,USSR
Leninakan,Armenia,40.75,43.866667,USSR
Astara,Azerbaijan,38.45,48.833333,USSR
Babek,Azerbaijan,39.183333,45.466667,USSR
Baku,Azerbaijan,40.416667,49.883333,USSR
Baku,Azerbaijan,40.45,50.066667,USSR
Baku,Azerbaijan,40.483333,49.983333,USSR
Dalimammadli,Azerbaijan,40.683333,46.6,USSR
Dzagam,Azerbaijan,40.883333,45.95,USSR
Ganja,Azerbaijan,40.733333,46.316667,USSR
Ganja,Azerbaijan,40.716667,46.366667,USSR
Hajiqabul,Azerbaijan,40.016667,48.916667,USSR
Hindarx,Azerbaijan,40.05,47.216667,USSR
Kurdamir,Azerbaijan,40.266667,48.15,USSR
Lankaran,Azerbaijan,38.766667,48.816667,USSR
Nasosnyy,Azerbaijan,40.6,49.55,USSR
Neftechala,Azerbaijan,39.3,49.2,USSR
Pirsaat,Azerbaijan,39.85,49.35,USSR
Salyan,Azerbaijan,39.65,49,USSR
Sangachal,Azerbaijan,40.166667,49.466667,USSR
Yevlakh,Azerbaijan,40.633333,47.15,USSR
Sumgait,Azerbaijan,40.56667,49.61667,USSR
Babruysk,Belarus,53.1,29.216667,USSR
Baranavicy,Belarus,53.1,26.05,USSR
Bobrovichi,Belarus,52.283333,29.383333,USSR
Brest,Belarus,52.133333,23.666667,USSR
Byaroza,Belarus,52.55,24.883333,USSR
Bykhov ,Belarus,53.516667,30.2,USSR
Dakudava,Belarus,54.316667,28.9,USSR
Gomel,Belarus,52.45,31,USSR
Gomel District,Belarus,52.3,31.166667,USSR
Grodna District,Belarus,53.633333,23.75,USSR
Kobryn,Belarus,52.233333,24.366667,USSR
Lida District,Belarus,53.866667,25.35,USSR
Loshnitsa,Belarus,54.283333,28.816667,USSR
Luninets District,Belarus,52.266667,26.833333,USSR
Machulishchy,Belarus,53.783333,27.566667,USSR
Mahiliou,Belarus,53.866667,30.316667,USSR
Maladzechna District,Belarus,54.25,26.883333,USSR
Mazyr District,Belarus,51.983333,29.15,USSR
Minsk,Belarus,53.866667,27.533333,USSR
Minsk/Dubikskaya,Belarus,53.683333,27.616667,USSR
